model,phase,attack_type,attack,round,clean_test_acc,clean_acc_evalsubset,adv_acc_evalsubset,acc_drop_evalsubset,attack_success_rate,train_poison_rate,train_adv_augmented,eval_attack_samples,poison_meta
SVM,poisoned,poison+evasion,LabelFlip(0.05) + HSJ,0,0.9152941176470588,0.91,0.185,0.7250000000000001,0.8901098901098901,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
SVM,poisoned,poison+evasion,LabelFlip(0.05) + Boundary,0,0.9152941176470588,0.91,0.185,0.7250000000000001,0.8901098901098901,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
SVM,poisoned,poison+evasion,LabelFlip(0.05) + ZOO,0,0.9152941176470588,0.91,0.3,0.6100000000000001,0.6703296703296703,0.05,0,200,"{""flip_rate"": 0.05, ""num_flipped"": 85}"
SVM,poisoned,poison+evasion,LabelFlip(0.1) + HSJ,0,0.9129411764705883,0.885,0.115,0.77,1.0,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
SVM,poisoned,poison+evasion,LabelFlip(0.1) + Boundary,0,0.9129411764705883,0.885,0.565,0.32000000000000006,0.4463276836158192,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
SVM,poisoned,poison+evasion,LabelFlip(0.1) + ZOO,0,0.9129411764705883,0.885,0.3,0.585,0.6610169491525424,0.1,0,200,"{""flip_rate"": 0.1, ""num_flipped"": 170}"
SVM,poisoned,poison+evasion,LabelFlip(0.2) + HSJ,0,0.8917647058823529,0.825,0.175,0.6499999999999999,1.0,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
SVM,poisoned,poison+evasion,LabelFlip(0.2) + Boundary,0,0.8917647058823529,0.825,0.19,0.635,0.9818181818181818,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
SVM,poisoned,poison+evasion,LabelFlip(0.2) + ZOO,0,0.8917647058823529,0.825,0.435,0.38999999999999996,0.4727272727272727,0.2,0,200,"{""flip_rate"": 0.2, ""num_flipped"": 340}"
SVM,advtrain,evasion,HSJ,0,0.9247058823529412,0.9,0.1,0.8,1.0,0.0,0,200,
SVM,advtrain,evasion,Boundary,0,0.9247058823529412,0.9,0.475,0.42500000000000004,0.5333333333333333,0.0,0,200,
SVM,advtrain,evasion,ZOO,0,0.9247058823529412,0.9,0.36,0.54,0.6,0.0,0,200,
SVM,advtrain,evasion,HSJ,1,0.92,0.93,0.07,0.8600000000000001,1.0,0.0,500,200,
SVM,advtrain,evasion,Boundary,1,0.92,0.93,0.075,0.8550000000000001,0.9946236559139785,0.0,500,200,
SVM,advtrain,evasion,ZOO,1,0.92,0.93,0.33,0.6000000000000001,0.6451612903225806,0.0,500,200,
SVM,advtrain,evasion,HSJ,2,0.9129411764705883,0.895,0.195,0.7,0.888268156424581,0.0,1000,200,
SVM,advtrain,evasion,Boundary,2,0.9129411764705883,0.895,0.195,0.7,0.888268156424581,0.0,1000,200,
SVM,advtrain,evasion,ZOO,2,0.9129411764705883,0.895,0.325,0.5700000000000001,0.6368715083798883,0.0,1000,200,
